Price,Tag,Time
6541.5,XBT/EUR,2018-04-17 20:38:40
6541.5,XBT/EUR,2018-04-17 20:38:49
6543.4,XBT/EUR,2018-04-17 20:38:59
6542.0,XBT/EUR,2018-04-17 20:39:09
6542.0,XBT/EUR,2018-04-17 20:39:39
6542.0,XBT/EUR,2018-04-17 20:39:43
6542.0,XBT/EUR,2018-04-17 20:39:44
6542.0,XBT/EUR,2018-04-17 20:39:53
6542.9,XBT/EUR,2018-04-17 20:40:04
6542.7,XBT/EUR,2018-04-17 20:40:33
6542.7,XBT/EUR,2018-04-17 20:40:43
6542.7,XBT/EUR,2018-04-17 20:40:53
6542.7,XBT/EUR,2018-04-17 20:41:03
6542.7,XBT/EUR,2018-04-17 20:41:13
6542.7,XBT/EUR,2018-04-17 20:41:23
6542.7,XBT/EUR,2018-04-17 20:41:29
6542.7,XBT/EUR,2018-04-17 20:41:30
6542.7,XBT/EUR,2018-04-17 20:41:39
6542.7,XBT/EUR,2018-04-17 20:41:49
6544.0,XBT/EUR,2018-04-17 20:42:50
6543.9,XBT/EUR,2018-04-17 20:45:40
6424.1,XBT/EUR,2018-04-17 20:54:51
6425.0,XBT/EUR,2018-04-17 21:00:18
6426.0,XBT/EUR,2018-04-17 21:00:27
6424.8,XBT/EUR,2018-04-17 21:00:36
6417.2,XBT/EUR,2018-04-17 21:00:38
6410.0,XBT/EUR,2018-04-17 21:00:48
6413.3,XBT/EUR,2018-04-17 21:00:52
6413.0,XBT/EUR,2018-04-17 21:00:58
6405.1,XBT/EUR,2018-04-17 21:01:11
6405.1,XBT/EUR,2018-04-17 21:01:13
6407.4,XBT/EUR,2018-04-17 21:01:21
6387.0,XBT/EUR,2018-04-17 21:01:31
6385.9,XBT/EUR,2018-04-17 21:01:41
6380.0,XBT/EUR,2018-04-17 21:01:51
6378.0,XBT/EUR,2018-04-17 21:02:01
6363.5,XBT/EUR,2018-04-17 21:02:11
6356.0,XBT/EUR,2018-04-17 21:02:21
6358.0,XBT/EUR,2018-04-17 21:02:52
6373.0,XBT/EUR,2018-04-17 21:04:48
6375.1,XBT/EUR,2018-04-17 21:04:50
6371.7,XBT/EUR,2018-04-17 21:05:14
6371.7,XBT/EUR,2018-04-17 21:05:16
6371.8,XBT/EUR,2018-04-17 21:05:23
6371.2,XBT/EUR,2018-04-17 21:05:33
6368.3,XBT/EUR,2018-04-17 21:05:43
6370.3,XBT/EUR,2018-04-17 21:07:58
6370.3,XBT/EUR,2018-04-17 21:08:00
6378.0,XBT/EUR,2018-04-17 21:08:08
6390.5,XBT/EUR,2018-04-17 21:08:28
